,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
9677,School Sisters CSG,61516,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.968902,44.17897&level=14",-93.968902,44.17897
9678,School Street,2605,NY,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.707983,42.78498&level=14",-73.707983,42.78498
9679,Schoolfield Dam,54655,VA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-79.432503,36.576778&level=14",-79.432503,36.576778
9680,Schueler Community Solar,63658,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-94.088307,45.306139&level=14",-94.088307,45.306139
9681,Schull CSG,64413,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.930384,43.91635&level=14",-93.930384,43.91635
9682,Schulte 2 Community Solar,64257,IL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-89.405223,41.032235&level=14",-89.405223,41.032235
9683,Schultz CSG,62088,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.376,44.5576&level=14",-93.376,44.5576
9684,Schumann Wind Farm,65737,OR,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.4973,45.90676&level=14",-118.4973,45.90676
9685,Schuylerville,2607,NY,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.582107,43.096823&level=14",-73.582107,43.096823
9686,Schuylkill Generating Station,3169,PA,IPP Non-CHP,GT,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-75.1883,39.9419&level=14",-75.1883,39.9419
9687,Schuylkill Haven PA BTM,66451,PA,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-76.178126,40.630683&level=14",-76.178126,40.630683
9688,Schwinghamer Project CSG,63177,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-94.596082,45.626942&level=14",-94.596082,45.626942
9689,Scioto Ridge Wind Farm,58780,OH,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-83.736389,40.561389&level=14",-83.736389,40.561389
9690,Scituate PV,59013,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.740556,42.1775&level=14",-70.740556,42.1775
9691,Scituate Wind,59724,MA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-70.728467,42.175083&level=14",-70.728467,42.175083
9692,"Scotch Bonnet Solar, LLC",63345,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.908113,34.53827&level=14",-77.908113,34.53827
