,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,GEOID,STATE,COUNTY,TRACT
3035,3035,Delta's Edge Solar,66759,MS,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-90.1,33.5&level=14",-90.1,33.5,28015950100,28.0,15.0,950100.0
3036,3036,Dement Farm LLC,58874,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.348333,36.27&level=14",-78.348333,36.27,37181960901,37.0,181.0,960901.0
3037,3037,Demille Solar Farm,60346,MI,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-83.333247,43.040011&level=14",-83.333247,43.040011,26087337000,26.0,87.0,337000.0
3038,3038,Deming Solar Energy Center,57575,NM,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-107.75056,32.165833&level=14",-107.75056,32.165833,35029000401,35.0,29.0,401.0
3039,3039,Demoss Petrie,124,AZ,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-110.992148,32.252273&level=14",-110.992148,32.252273,04019004515,4.0,19.0,4515.0
3040,3040,Dempsey Ridge Wind Farm,56665,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-99.814456,35.529778&level=14",-99.814456,35.529778,40129960000,40.0,129.0,960000.0
3041,3041,Deneb Community Solar,61715,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-94.831075,45.404139&level=14",-94.831075,45.404139,27067780100,27.0,67.0,780100.0
3042,3042,Denison,6416,TX,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-96.5692,33.8181&level=14",-96.5692,33.8181,48181000302,48.0,181.0,302.0
3043,3043,Denison Solar Array,61637,OH,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-82.517957,40.073337&level=14",-82.517957,40.073337,39089757701,39.0,89.0,757701.0
3044,3044,Denmark Solar,62211,SC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.142844,33.347128&level=14",-81.142844,33.347128,45009960101,45.0,9.0,960101.0
