error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,5689.0,6111000903.0,34.4727825,55345.0,6.0,9.03,207901149384983.0,CT,S,34.4750719,Census Tract 9.03,28427.0,903.0,-119.1546063,2418.0,134482599.0,-119.1567223,G5020,M,111.0
,,,4758.0,55097960200.0,44.609421,26505775.0,55.0,9602.0,20790236619397.0,CT,S,44.6064707,Census Tract 9602,59214.0,960200.0,-89.6862646,2095.0,434891687.0,-89.6759493,G5020,M,97.0
,,,4572.0,42027011201.0,40.8702514,0.0,42.0,112.01,207903716986993.0,CT,S,40.8702514,Census Tract 112.01,40112.0,11201.0,-77.8163373,2129.0,71300051.0,-77.8163373,G5020,M,27.0
,,,1472.0,6095252802.0,38.2715195,0.0,6.0,2528.02,207903717108067.0,CT,S,38.2715195,Census Tract 2528.02,84861.0,252802.0,-121.9462484,223.0,3603664.0,-121.9462484,G5020,M,95.0
,,,3883.0,37067001400.0,36.1422756,9072.0,37.0,14.0,20790316496892.0,CT,S,36.1381648,Census Tract 14,43034.0,1400.0,-80.2553136,1538.0,7438737.0,-80.2559043,G5020,U,67.0
,,,2768.0,53047970900.0,48.7093952,4520076.0,53.0,9709.0,20790480662927.0,CT,S,48.7033882,Census Tract 9709,32472.0,970900.0,-120.3489153,2449.0,3819260191.0,-120.3722518,G5020,R,47.0
,,,2880.0,30049000600.0,46.5733147,685782.0,30.0,6.0,20790420139223.0,CT,S,46.5705376,Census Tract 6,64958.0,600.0,-112.2022594,1183.0,362466449.0,-112.2092343,G5020,M,49.0
,,,3395.0,42003241300.0,40.4641905,327615.0,42.0,2413.0,2079015692404631.0,CT,S,40.4651965,Census Tract 2413,1152.0,241300.0,-79.9846481,2225.0,1906191.0,-79.9840959,G5020,U,3.0
,,,3358.0,51710005602.0,36.9195314,4335.0,51.0,56.02,20790698664659.0,CT,S,36.9195388,Census Tract 56.02,82155.0,5602.0,-76.2436929,1414.0,1559973.0,-76.2439189,G5020,U,710.0
,,,1911.0,39095010600.0,41.6479485,0.0,39.0,106.0,2079015482802273.0,CT,S,41.6479485,Census Tract 106,29778.0,10600.0,-83.54839,1097.0,1820752.0,-83.54839,G5020,U,95.0
,,,5809.0,21155970700.0,37.5328219,2127395.0,21.0,9707.0,20790115120807.0,CT,S,37.5442451,Census Tract 9707,49969.0,970700.0,-85.2230875,2467.0,189834775.0,-85.2255656,G5020,M,155.0
,,,4398.0,22077952100.0,30.6351882,3065724.0,22.0,9521.0,2079070542689.0,CT,S,30.6319428,Census Tract 9521,59718.0,952100.0,-91.5251695,2205.0,260994821.0,-91.5178825,G5020,M,77.0
,,,3412.0,55131420107.0,43.3827425,1416873.0,55.0,4201.07,2079015489673371.0,CT,S,43.381988,Census Tract 4201.07,7318.0,420107.0,-88.2034915,1689.0,20549097.0,-88.2035365,G5020,M,131.0
