POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
8692,48339690604,+30.1793802,0,48,6906.04,2079015657193436,CT,S,+30.1793802,Census Tract 6906.04,59124,690604,-095.5859054,3287,5037557,-095.5859054,G5020,M,339
6205,48113013620,+32.9617110,7679,48,136.20,207903717245274,CT,S,+32.9617210,Census Tract 136.20,73519,013620,-096.8156306,4429,1733152,-096.8173231,G5020,U,113
5693,48201333301,+29.6321549,0,48,3333.01,2079015702380226,CT,S,+29.6321549,Census Tract 3333.01,14431,333301,-095.2406195,2305,1469716,-095.2406195,G5020,U,201
6305,48113016633,+32.5897914,268,48,166.33,2079015922093096,CT,S,+32.5928104,Census Tract 166.33,41439,016633,-096.8826488,2007,5142529,-096.8783551,G5020,U,113
4040,48201233002,+29.8017233,0,48,2330.02,207903717156118,CT,S,+29.8017233,Census Tract 2330.02,67724,233002,-095.1701831,1298,1726150,-095.1701831,G5020,U,201
4243,48039660303,+29.5361472,19724,48,6603.03,2079015489609459,CT,S,+29.5338863,Census Tract 6603.03,20399,660303,-095.2523105,1414,3826540,-095.2555403,G5020,M,039
4990,48479001726,+27.6084047,0,48,17.26,2079015486685304,CT,S,+27.6084047,Census Tract 17.26,33214,001726,-099.4758859,1688,5662001,-099.4758859,G5020,U,479
5476,48039660610,+29.5638615,31389,48,6606.10,2079015489609409,CT,S,+29.5630782,Census Tract 6606.10,2514,660610,-095.3700105,1719,5279478,-095.3693391,G5020,U,039
3257,48201421101,+29.7222779,0,48,4211.01,207903717157230,CT,S,+29.7222779,Census Tract 4211.01,69268,421101,-095.4700803,1775,1238555,-095.4700803,G5020,U,201
3047,48439111015,+32.5698856,0,48,1110.15,2079015922226917,CT,S,+32.5698856,Census Tract 1110.15,18827,111015,-097.3515109,1074,3704413,-097.3515109,G5020,U,439
7302,48439114207,+32.7941930,279789,48,1142.07,2079015922201186,CT,S,+32.7880743,Census Tract 1142.07,44777,114207,-097.5155342,2618,36236303,-097.5232469,G5020,M,439
5733,48121020110,+33.1845992,1457,48,201.10,207903717203960,CT,S,+33.1840630,Census Tract 201.10,66027,020110,-096.8773873,1714,2637084,-096.8775633,G5020,U,121
8359,48157673403,+29.6917892,30459,48,6734.03,2079015692353147,CT,S,+29.6932307,Census Tract 6734.03,78596,673403,-095.7923575,2938,6101147,-095.7922013,G5020,U,157
9627,48215023906,+26.2640326,20020,48,239.06,2079015497324351,CT,S,+26.2606500,Census Tract 239.06,66366,023906,-098.1890570,3437,10526669,-098.1892879,G5020,U,215
5434,48027022503,+31.0797223,6245,48,225.03,2079015503987564,CT,S,+31.0813500,Census Tract 225.03,15290,022503,-097.7270583,2619,4696882,-097.7256095,G5020,U,027
1990,48485011800,+33.8614164,0,48,118,20790707449311,CT,S,+33.8614164,Census Tract 118,77505,011800,-098.5055312,850,2248364,-098.5055312,G5020,U,485
8046,48201250201,+29.9477753,13380,48,2502.01,2079015701721358,CT,S,+29.9501906,Census Tract 2502.01,45965,250201,-095.2574989,2513,4619977,-095.2569333,G5020,U,201
1933,48465950802,+29.9223382,216699319,48,9508.02,2079015503730989,CT,S,+29.9411357,Census Tract 9508.02,33111,950802,-101.1679592,1384,7706249519,-101.1759990,G5020,M,465
3687,48439110907,+32.6730307,0,48,1109.07,2079015922201000,CT,S,+32.6730307,Census Tract 1109.07,51445,110907,-097.4788542,1573,2887242,-097.4788542,G5020,U,439
10080,48201542901,+29.8147304,0,48,5429.01,2079015701739586,CT,S,+29.8147304,Census Tract 5429.01,54624,542901,-095.7618657,3342,5657932,-095.7618657,G5020,U,201
2364,48215020736,+26.2439226,0,48,207.36,2079015497324177,CT,S,+26.2439226,Census Tract 207.36,39589,020736,-098.2477802,766,1573081,-098.2477802,G5020,U,215
4470,48201220500,+29.8362058,0,48,2205,20790326056569,CT,S,+29.8362058,Census Tract 2205,58026,220500,-095.3814642,2040,2403756,-095.3814642,G5020,U,201
7400,48201542302,+29.8107442,113601,48,5423.02,207903717156807,CT,S,+29.8092846,Census Tract 5423.02,62879,542302,-095.7416055,2356,4444460,-095.7442577,G5020,U,201
3944,48061012509,+25.9632409,154704,48,125.09,2079015692404351,CT,S,+25.9631293,Census Tract 125.09,17785,012509,-097.5161133,1340,3535915,-097.5159474,G5020,U,061
4760,48323950602,+28.6967118,82843,48,9506.02,20790477653118,CT,S,+28.6964362,Census Tract 9506.02,81184,950602,-100.4819750,1665,3890210,-100.4814394,G5020,U,323
4310,48039661200,+29.4151029,0,48,6612,20790288388699,CT,S,+29.4151029,Census Tract 6612,44937,661200,-095.2378388,2023,3574186,-095.2378388,G5020,U,039
4191,48167725600,+29.2675255,320418,48,7256,20790306085664,CT,S,+29.2676962,Census Tract 7256,69305,725600,-094.8322471,2924,1788392,-094.8320423,G5020,U,167
11289,48201555505,+30.0172993,53228,48,5555.05,2079015701701872,CT,S,+30.0146297,Census Tract 5555.05,45591,555505,-095.6174490,3794,7484349,-095.6149184,G5020,U,201
4246,48439113613,+32.8457217,0,48,1136.13,207901921450532,CT,S,+32.8457217,Census Tract 1136.13,61917,113613,-097.1769318,1765,4277349,-097.1769318,G5020,U,439
