,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
0,Pine River Wind Park,61106,MI,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-84.696781,43.524324&level=14",-84.696781,43.524324
1,"Pine Road Solar, LLC CSG",64439,IL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-88.664448,41.674386&level=14",-88.664448,41.674386
2,Pine Street,7806,MI,Electric Utility,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-83.449953,43.740164&level=14",-83.449953,43.740164
3,Pine Tree Acres,54989,MI,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-82.747087,42.764456&level=14",-82.747087,42.764456
4,Pine Tree Acres WM LFGTE,57443,MI,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-82.745555,42.765&level=14",-82.745555,42.765
5,Pine Tree Solar Project,57306,CA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.1957,35.229635&level=14",-118.1957,35.229635
6,Pine Tree Wind Power Project,56433,CA,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.175356,35.248006&level=14",-118.175356,35.248006
7,"Pine Valley Solar Farm, LLC",60298,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.529333,35.21812&level=14",-79.529333,35.21812
8,Pine View Dam,7132,UT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-111.848525,41.254331&level=14",-111.848525,41.254331
9,Pinelawn Power LLC,56188,NY,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-73.388424,40.736611&level=14",-73.388424,40.736611
0,Pinellas County Resource Recovery,50884,FL,Commercial Non-CHP,ST,MSW,Municipal Solid Waste,,,,Renewable Energy Sources,"map/?center=-82.6741,27.8733&level=14",-82.6741,27.8733
1,Pinesage,61978,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.51909,35.220823&level=14",-79.51909,35.220823
2,Pinesburg Solar LLC,63903,MD,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.860901,39.625172&level=14",-77.860901,39.625172
3,Pineville Delivery 2,56345,NC,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-80.8816,35.0767&level=14",-80.8816,35.0767
4,Piney,3124,PA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-79.433501,41.192088&level=14",-79.433501,41.192088
5,Piney Creek Solar,62768,VA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.771892,36.818554&level=14",-78.771892,36.818554
6,Pink Trial Solar Energy Center,65428,FL,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.54214,27.29783&level=14",-80.54214,27.29783
7,Pinnacle Wind Force LLC,57595,WV,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-79.03,39.445&level=14",-79.03,39.445
8,Pinnacles,3825,VA,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-80.447897,36.666866&level=14",-80.447897,36.666866
9,Pinova Inc.,10120,GA,Industrial CHP,--,--,--,,,,Other,"map/?center=-81.478724,31.164772&level=14",-81.478724,31.164772
0,Pinson Solar Farm,63777,SC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-82.06,34.72&level=14",-82.06,34.72
1,Pinyon Pine I,57834,CA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.211835,35.043411&level=14",-118.211835,35.043411
2,Pinyon Pine II,57837,CA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.223333,35.026759&level=14",-118.223333,35.026759
3,Pio Pico Energy Center,57555,CA,IPP Non-CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-116.917777,32.573889&level=14",-116.917777,32.573889
4,Pioneer,3656,UT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-111.946478,41.243643&level=14",-111.946478,41.243643
5,"Pioneer Crossing Energy, LLC",56957,PA,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-75.8167,40.275&level=14",-75.8167,40.275
6,Pioneer Generation Station,57881,ND,Electric Utility,"GT, IC",NG,Multiple,,,,Other,"map/?center=-103.95278,48.2325&level=14",-103.95278,48.2325
7,Pioneer Prairie Wind Farm,56797,IA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-92.6131,43.4839&level=14",-92.6131,43.4839
